,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
1800,2014-01-29,71.9929,72.4814,71.2314,500.75,71.5357,0.0,0.0,0.0,0.0
1801,2014-01-30,71.7914,72.3571,70.9571,499.78,71.3971,-0.3102,0.088,0.84,0.072
1802,2014-01-31,70.74,71.6471,70.5071,500.6,71.5143,0.8083,0.044,0.861,0.095
1803,2014-02-03,71.8014,72.5329,71.3286,501.53,71.6471,0.0,0.0,0.0,0.0
1804,2014-02-04,72.2643,72.78,71.8229,508.79,72.6843,0.4999,0.037,0.898,0.065
1805,2014-02-05,72.3657,73.6114,72.3214,512.59,73.2271,0.964,0.019,0.891,0.089
1806,2014-02-06,72.8657,73.3571,72.5443,512.51,73.2157,0.9743,0.051,0.815,0.134
1807,2014-02-07,74.4829,74.7043,73.9114,519.68,74.24,0.9716,0.069,0.792,0.139
1808,2014-02-10,74.0943,75.9986,74.0,528.99,75.57,0.8773,0.05,0.854,0.096
1809,2014-02-11,75.8014,76.8214,75.6429,535.96,76.5657,0.8116,0.054,0.851,0.095
1810,2014-02-12,76.7071,77.08,76.1771,535.92,76.56,0.6096,0.054,0.871,0.075
1811,2014-02-13,76.38,77.8357,76.3143,544.43,77.7757,-0.8681,0.069,0.896,0.035
1812,2014-02-14,77.4957,77.9971,77.3157,543.99,77.7129,0.6249,0.061,0.857,0.082
1813,2014-02-18,78.0,78.7414,77.9443,545.99,77.9986,0.9129,0.033,0.888,0.079
1814,2014-02-19,77.8214,78.1271,76.3357,537.37,76.7671,0.9679,0.005,0.893,0.102
1815,2014-02-20,76.1414,76.7143,75.5714,531.15,75.8786,0.959,0.021,0.869,0.11
1816,2014-02-21,76.1129,76.3671,74.9429,525.25,75.0357,0.8504,0.032,0.885,0.082
1817,2014-02-24,74.7357,75.7029,74.6314,527.55,75.3643,0.967,0.022,0.886,0.092
1818,2014-02-25,75.6257,75.6529,74.4286,522.06,74.58,0.8176,0.076,0.832,0.092
1819,2014-02-26,74.8014,75.0,73.6571,517.35,73.9071,0.8718,0.028,0.914,0.058
1820,2014-02-27,73.8771,75.54,73.7214,527.67,75.3814,0.903,0.058,0.866,0.075
1821,2014-02-28,75.5829,76.1071,74.5886,526.24,75.1771,0.7543,0.039,0.815,0.147
1822,2014-03-03,74.7743,75.8071,74.6871,527.76,75.3943,0.0,0.0,0.0,0.0
1823,2014-03-04,75.8571,76.0914,75.3957,531.24,75.8914,0.9169,0.017,0.92,0.063
1824,2014-03-05,75.8457,76.3929,75.59,532.36,76.0514,0.989,0.004,0.878,0.118
1825,2014-03-06,76.1129,76.3486,75.4429,530.75,75.8214,0.9517,0.023,0.846,0.131
1826,2014-03-07,75.87,75.9971,75.15,530.44,75.7771,0.6715,0.082,0.805,0.113
1827,2014-03-10,75.48,76.19,75.4771,530.92,75.8457,0.9598,0.045,0.853,0.102
