,Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
1800,2014-01-29,35.98,36.88,35.9,36.66,36.66,0.0,0.0,1.0,0.0
1801,2014-01-30,36.79,36.88,36.23,36.86,36.86,0.4404,0.051,0.826,0.124
1802,2014-01-31,36.95,37.89,36.56,37.84,37.84,0.0,0.0,0.0,0.0
1803,2014-02-03,37.74,37.99,36.43,36.48,36.48,-0.1531,0.08,0.869,0.051
1804,2014-02-04,36.97,37.19,36.25,36.35,36.35,0.0772,0.065,0.861,0.074
1805,2014-02-05,36.29,36.47,35.8,35.82,35.82,0.0,0.0,0.0,0.0
1806,2014-02-06,35.8,36.25,35.69,36.18,36.18,-0.4201,0.05,0.95,0.0
1807,2014-02-07,36.32,36.59,36.01,36.56,36.56,0.8201,0.0,0.759,0.241
1808,2014-02-10,36.63,36.8,36.29,36.8,36.8,0.0,0.0,0.0,0.0
1809,2014-02-11,36.88,37.26,36.86,37.17,37.17,0.7964,0.0,0.712,0.288
1810,2014-02-12,37.35,37.6,37.3,37.47,37.47,0.0,0.0,0.0,0.0
1811,2014-02-13,37.33,37.86,37.33,37.61,37.61,0.0,0.0,0.0,0.0
1812,2014-02-14,37.39,37.78,37.33,37.62,37.62,-0.2732,0.056,0.89,0.055
1813,2014-02-18,37.63,37.78,37.41,37.42,37.42,0.1674,0.059,0.865,0.076
1814,2014-02-19,37.22,37.75,37.21,37.51,37.51,0.0,0.0,0.0,0.0
1815,2014-02-20,37.57,37.87,37.4,37.75,37.75,0.1531,0.092,0.839,0.069
1816,2014-02-21,37.94,38.35,37.86,37.98,37.98,0.0,0.0,1.0,0.0
1817,2014-02-24,37.69,37.98,37.54,37.69,37.69,0.0772,0.035,0.926,0.039
1818,2014-02-25,37.61,37.85,37.35,37.54,37.54,0.0,0.0,0.0,0.0
1819,2014-02-26,37.58,37.74,37.19,37.47,37.47,0.0,0.0,0.0,0.0
1820,2014-02-27,37.45,37.89,37.23,37.86,37.86,0.0258,0.048,0.902,0.051
1821,2014-02-28,37.98,38.46,37.82,38.31,38.31,0.0,0.0,0.0,0.0
1822,2014-03-03,37.92,38.13,37.49,37.78,37.78,0.0,0.0,0.0,0.0
1823,2014-03-04,38.2,38.48,38.07,38.41,38.41,0.0,0.0,1.0,0.0
1824,2014-03-05,38.25,38.27,37.93,38.11,38.11,0.0,0.0,0.0,0.0
1825,2014-03-06,38.14,38.24,37.89,38.15,38.15,0.0,0.0,0.0,0.0
1826,2014-03-07,38.28,38.36,37.69,37.9,37.9,-0.2263,0.044,0.935,0.021
1827,2014-03-10,37.99,38.01,37.72,37.82,37.82,0.7964,0.0,0.812,0.188
1828,2014-03-11,37.87,38.23,37.72,38.02,38.02,-0.2732,0.125,0.82,0.056
1829,2014-03-12,37.8,38.43,37.79,38.27,38.27,0.0,0.0,0.0,0.0
1830,2014-03-13,38.42,38.45,37.64,37.89,37.89,-0.296,0.066,0.872,0.062
1831,2014-03-14,37.65,38.14,37.51,37.7,37.7,0.0,0.0,0.0,0.0
1832,2014-03-17,37.9,38.41,37.79,38.05,38.05,0.0,0.0,0.0,0.0
1833,2014-03-18,38.26,39.9,38.22,39.55,39.55,0.891,0.0,0.884,0.116
1834,2014-03-19,39.47,39.55,38.91,39.27,39.27,0.0,0.0,0.0,0.0
1835,2014-03-20,39.25,40.65,39.24,40.33,40.33,0.6908,0.0,0.839,0.161
1836,2014-03-21,40.72,40.94,40.01,40.16,40.16,0.0,0.0,0.0,0.0
1837,2014-03-24,40.34,40.64,39.86,40.5,40.5,0.0,0.0,0.0,0.0
1838,2014-03-25,40.66,40.99,39.96,40.34,40.34,0.0,0.0,1.0,0.0
1839,2014-03-26,40.48,40.71,39.6,39.79,39.79,0.8131,0.052,0.631,0.317
1840,2014-03-27,39.74,39.97,39.34,39.36,39.36,0.0,0.0,0.0,0.0
1841,2014-03-28,39.79,40.64,39.68,40.3,40.3,0.0559,0.071,0.853,0.076
1842,2014-03-31,40.43,41.5,40.4,40.99,40.99,0.3818,0.042,0.833,0.125
1843,2014-04-01,41.15,41.59,41.07,41.42,41.42,0.1027,0.075,0.839,0.087
1844,2014-04-02,41.44,41.66,41.17,41.35,41.35,0.0,0.0,0.0,0.0
1845,2014-04-03,41.29,41.29,40.71,41.01,41.01,0.2023,0.088,0.79,0.121
1846,2014-04-04,41.25,41.39,39.64,39.87,39.87,-0.128,0.035,0.965,0.0
1847,2014-04-07,39.96,40.27,39.74,39.8,39.8,0.0,0.0,0.0,0.0
1848,2014-04-08,39.75,39.93,39.2,39.82,39.82,0.0,0.0,0.0,0.0
1849,2014-04-09,39.93,40.55,39.88,40.47,40.47,0.0,0.0,0.0,0.0
1850,2014-04-10,40.44,40.69,39.09,39.36,39.36,-0.0516,0.049,0.907,0.044
1851,2014-04-11,39.0,39.79,39.0,39.21,39.21,-0.0772,0.04,0.96,0.0
1852,2014-04-14,39.11,39.41,38.9,39.18,39.18,0.8442,0.0,0.755,0.245
1853,2014-04-15,39.34,39.96,39.05,39.75,39.75,0.0,0.0,0.0,0.0
1854,2014-04-16,40.06,40.42,39.91,40.4,40.4,-0.7845,0.152,0.818,0.03
1855,2014-04-17,40.01,40.2,39.51,40.01,40.01,0.9351,0.012,0.85,0.139
1856,2014-04-21,40.13,40.15,39.79,39.94,39.94,0.0,0.0,0.0,0.0
1857,2014-04-22,39.96,40.14,39.83,39.99,39.99,0.872,0.033,0.788,0.18
1858,2014-04-23,39.99,39.99,39.47,39.69,39.69,0.0,0.0,0.0,0.0
1859,2014-04-24,39.74,39.97,39.3,39.86,39.86,0.0,0.0,0.0,0.0
1860,2014-04-25,40.29,40.68,39.75,39.91,39.91,0.8603,0.0,0.926,0.074
1861,2014-04-28,40.14,41.29,40.09,40.87,40.87,-0.1027,0.042,0.922,0.036
1862,2014-04-29,41.1,41.19,40.39,40.51,40.51,0.9209,0.07,0.738,0.192
1863,2014-04-30,40.4,40.5,40.17,40.4,40.4,0.0,0.0,0.0,0.0
1864,2014-05-01,40.24,40.36,39.95,40.0,40.0,0.4215,0.045,0.819,0.136
1865,2014-05-02,40.31,40.34,39.66,39.69,39.69,0.962,0.038,0.759,0.202
1866,2014-05-05,39.52,39.64,39.3,39.43,39.43,0.0,0.0,0.0,0.0
1867,2014-05-06,39.29,39.35,38.95,39.06,39.06,0.0,0.0,0.0,0.0
1868,2014-05-07,39.22,39.51,38.51,39.42,39.42,0.8126,0.023,0.844,0.132
1869,2014-05-08,39.34,39.9,38.97,39.64,39.64,0.7003,0.0,0.938,0.062
1870,2014-05-09,39.54,39.85,39.37,39.54,39.54,0.0,0.0,0.0,0.0
1871,2014-05-12,39.74,40.02,39.65,39.97,39.97,0.802,0.062,0.776,0.163
1872,2014-05-13,39.92,40.5,39.85,40.42,40.42,0.0,0.0,0.0,0.0
1873,2014-05-14,40.3,40.45,40.05,40.24,40.24,0.0,0.0,0.0,0.0
1874,2014-05-15,40.09,40.4,39.51,39.6,39.6,0.4588,0.0,0.812,0.188
1875,2014-05-16,39.67,39.84,39.27,39.83,39.83,-0.7351,0.131,0.869,0.0
1876,2014-05-19,39.61,39.82,39.46,39.75,39.75,0.0,0.0,0.0,0.0
1877,2014-05-20,39.68,39.94,39.46,39.68,39.68,0.4767,0.035,0.879,0.086
1878,2014-05-21,39.8,40.35,39.74,40.35,40.35,-0.3612,0.056,0.918,0.026
1879,2014-05-22,40.29,40.35,39.85,40.1,40.1,0.0,0.0,0.0,0.0
1880,2014-05-23,40.37,40.37,40.0,40.12,40.12,-0.25,0.05,0.908,0.043
1881,2014-05-27,40.26,40.26,39.81,40.19,40.19,0.6486,0.0,0.951,0.049
1882,2014-05-28,40.14,40.19,39.82,40.01,40.01,-0.2075,0.066,0.885,0.049
